Name,Gender,Frequency
Emma,F,20355
Olivia,F,19553
Sophia,F,17327
Ava,F,16286
Isabella,F,15504
Mia,F,14820
Abigail,F,12311
Emily,F,11727
Charlotte,F,11332
Harper,F,10241
Madison,F,10038
Amelia,F,9795
Elizabeth,F,9656
Sofia,F,9650
Evelyn,F,9313
Avery,F,9298
Chloe,F,7884
Ella,F,7852
Grace,F,7589
Victoria,F,7575
Aubrey,F,7357
Scarlett,F,7100
Zoey,F,6900
Addison,F,6683
Lily,F,6617
Lillian,F,6571
Natalie,F,6466
Hannah,F,6372
Aria,F,6371
Layla,F,6289
Brooklyn,F,6268
Alexa,F,6029
Zoe,F,5995
Penelope,F,5921
Riley,F,5707
Leah,F,5585
Audrey,F,5581
Savannah,F,5413
Allison,F,5329
Samantha,F,5304
Nora,F,5301
Skylar,F,5258
Camila,F,5257
Anna,F,5094
Paisley,F,5056
Ariana,F,4933
Ellie,F,4838
Aaliyah,F,4836
Claire,F,4805
Violet,F,4779
Stella,F,4769
Sadie,F,4731
Mila,F,4712
Gabriella,F,4579
Lucy,F,4512
Arianna,F,4498
Kennedy,F,4496
Sarah,F,4476
Madelyn,F,4467
Eleanor,F,4402
Kaylee,F,4346
Caroline,F,4304
Hazel,F,4270
Hailey,F,4221
Genesis,F,4148
Kylie,F,4142
Autumn,F,4101
Piper,F,4100
Maya,F,4099
Nevaeh,F,3968
Serenity,F,3943
Peyton,F,3888
Mackenzie,F,3838
Bella,F,3760
Eva,F,3735
Taylor,F,3732
Naomi,F,3731
Aubree,F,3617
Aurora,F,3613
Melanie,F,3482
Lydia,F,3474
Brianna,F,3459
Ruby,F,3433
Katherine,F,3429
Ashley,F,3409
Alexis,F,3395
Alice,F,3395
Cora,F,3378
Julia,F,3347
Madeline,F,3305
Faith,F,3288
Annabelle,F,3250
Alyssa,F,3233
Isabelle,F,3198
Vivian,F,3183
Gianna,F,3161
Quinn,F,3077
Clara,F,3049
Reagan,F,3038
Khloe,F,2985
Alexandra,F,2983
Hadley,F,2957
Eliana,F,2956
Sophie,F,2918
London,F,2904
Elena,F,2877
Kimberly,F,2826
Bailey,F,2818
Maria,F,2803
Luna,F,2790
Willow,F,2776
Jasmine,F,2774
Kinsley,F,2762
Valentina,F,2738
Kayla,F,2718
Delilah,F,2706
Andrea,F,2699
Natalia,F,2686
Lauren,F,2677
Morgan,F,2670
Rylee,F,2668
Sydney,F,2647
Adalynn,F,2612
Mary,F,2602
Ximena,F,2591
Jade,F,2549
Liliana,F,2545
Brielle,F,2519
Ivy,F,2489
Trinity,F,2485
Josephine,F,2477
Adalyn,F,2450
Jocelyn,F,2441
Emery,F,2409
Adeline,F,2391
Jordyn,F,2362
Ariel,F,2332
Everly,F,2315
Lilly,F,2294
Paige,F,2278
Isla,F,2263
Lyla,F,2254
Makayla,F,2237
Molly,F,2235
Emilia,F,2206
Mya,F,2189
Kendall,F,2186
Melody,F,2168
Isabel,F,2148
Brooke,F,2139
Mckenzie,F,2117
Nicole,F,2106
Payton,F,2103
Margaret,F,2089
Mariah,F,2087
Eden,F,2050
Athena,F,2040
Amy,F,2031
Norah,F,2021
Londyn,F,2013
Valeria,F,1974
Sara,F,1962
Aliyah,F,1958
Angelina,F,1952
Gracie,F,1934
Rose,F,1928
Rachel,F,1911
Juliana,F,1896
Laila,F,1883
Brooklynn,F,1879
Valerie,F,1873
Alina,F,1851
Reese,F,1848
Elise,F,1836
Eliza,F,1816
Alaina,F,1805
Raelynn,F,1793
Leilani,F,1789
Catherine,F,1785
Emerson,F,1780
Cecilia,F,1771
Genevieve,F,1760
Daisy,F,1754
Harmony,F,1740
Vanessa,F,1720
Adriana,F,1719
Presley,F,1711
Rebecca,F,1709
Destiny,F,1706
Hayden,F,1703
Julianna,F,1698
Michelle,F,1692
Adelyn,F,1673
Arabella,F,1671
Summer,F,1671
Callie,F,1669
Kaitlyn,F,1651
Ryleigh,F,1648
Lila,F,1639
Daniela,F,1636
Arya,F,1634
Alana,F,1611
Esther,F,1601
Finley,F,1598
Gabrielle,F,1591
Jessica,F,1577
Charlie,F,1554
Stephanie,F,1554
Tessa,F,1545
Makenzie,F,1541
Ana,F,1534
Amaya,F,1522
Alexandria,F,1521
Alivia,F,1515
Nova,F,1511
Anastasia,F,1493
Iris,F,1492
Marley,F,1487
Fiona,F,1484
Angela,F,1480
Giselle,F,1479
Kate,F,1469
Alayna,F,1449
Lola,F,1443
Lucia,F,1440
Juliette,F,1439
Parker,F,1439
Teagan,F,1430
Sienna,F,1429
Georgia,F,1424
Hope,F,1423
Cali,F,1421
Vivienne,F,1419
